grade	word	meaning	category	expected_image
2-1	jellyfish	水母	animal	jellyfish.png
2-1	hair	头发	body	hair.png
2-1	head	头	body	head.png
2-1	long	长的	adj	long.png
2-1	now	现在	time	now.png
2-1	look	看	verb	look.png
2-1	kangaroo	袋鼠	animal	kangaroo.png
2-1	lion	狮子	animal	lion.png
2-1	has	有	verb	has.png
2-1	playground	操场	place	playground.png
2-1	slide	滑梯	noun	slide.png
2-1	swing	秋千	noun	swing.png
2-1	seesaw	跷跷板	noun	seesaw.png
2-1	nightingale	夜莺	animal	nightingale.png
2-1	room	房间	room	room.png
2-1	put	放	verb	put.png
2-1	the	这，那些	article	the.png
2-1	dad	爸爸	family	dad.png
2-1	box	盒子	noun	box.png
2-1	on	在……上面	prep	on.png
2-1	look at	看	phrase	look_at.png
2-1	pencil case	铅笔盒	school	pencil_case.png
2-1	ox	公牛，牛	animal	ox.png
2-1	dinner	晚餐	meal	dinner.png
2-1	ready	准备好的	adj	ready.png
2-1	plate	盘子	noun	plate.png
2-1	chopsticks	筷子	noun	chopsticks.png
2-1	bowl	碗	noun	bowl.png
2-1	spoon	勺子	noun	spoon.png
2-1	queen bee	蜂后	animal	queen_bee.png
2-1	fly around	飞来飞去	phrase	fly_around.png
2-1	run around	跑来跑去	phrase	run_around.png
2-1	sky	天空	nature	sky.png
2-1	bright	明亮的	adj	bright.png
2-1	star	星星	nature	star.png
2-1	snake	蛇	animal	snake.png
2-1	king	国王	person	king.png
2-1	forest	森林	nature	forest.png
2-1	fox	狐狸	animal	fox.png
2-1	meat	肉	food	meat.png
2-1	hippo	河马	animal	hippo.png
2-1	grass	草	nature	grass.png
2-1	wild	野生的	adj	wild.png
2-1	animal	动物	animal	animal.png
2-1	cute	可爱的	adj	cute.png
2-1	wow	哇	phrase	wow.png
2-1	so	如此，那么	adv	so.png
2-1	dove	鸽子	animal	dove.png
2-1	swan	天鹅	animal	swan.png
2-1	street	街道	place	street.png
2-1	don't	不要，不	phrase	dont.png
2-1	pick	摘，捡	verb	pick.png
2-1	climb	爬	verb	climb.png
2-1	cut	剪，切	verb	cut.png
2-1	nice	好的，美丽的	adj	nice.png
2-1	beautiful	美丽的	adj	beautiful.png
2-1	cry	哭，叫喊	verb	cry.png
2-1	yak	牦牛	animal	yak.png
2-1	zebra	斑马	animal	zebra.png
2-2	they	他们，她们，它们	pronoun	they.png
2-2	and	和	conj	and.png
2-2	feel	摸起来，感觉	verb	feel.png
2-2	touch	碰，触摸	verb	touch.png
